Celebrity,Age,Race,Gender,Dance Role,Notability,Category,Professional Partner,Season,Finish,Average Judge Score
Simone Biles,20,Black,Female,Follower,Olympic Gymnast,Olympic Athlete,Sasha Farber,Season 24,4,8.89583333333333
Normani,21,Black,Female,Follower,Singer,Music,Valentin Chmerkovskiy,Season 24,3,9.2
David Ross,40,White,Male,Leader,Professional Baseball Player,National Athlete,Lindsay Arnold,Season 24,2,8.06666666666667
Rashad Jennings,32,Black,Male,Leader,Professional Football Player,National Athlete,Emma Slater,Season 24,1,9.03333333333333
Barbara Corcoran,68,White,Female,Follower,"TV Host, Businesswoman",Businesspeople,Keo Motsepe,Season 25,13,5.16666666666667
Debbie Gibson,47,White,Female,Follower,"Singer-songwriter, Broadway","Music, Acting",Alan Bersten,Season 25,12,6.44444444444444
Derek Fisher,43,Black,Male,Leader,Professional Basketball Player,National Athlete,Sharna Burgess,Season 25,11,6.66666666666667
Sasha Pieterse,21,White,Female,Follower,"Actress, TV Host",Acting,Gleb Savchenko,Season 25,10,7.22222222222222
Nick Lachey,44,White,Male,Leader,Singer,Music,Peta Murgatroyd,Season 25,9,6.68181818181818
Nikki Bella,34,Hispanic/Latino,Female,Follower,Professional Wrestler,Fighter,Artem Chigvintsev,Season 25,8,8.17857142857143
Vanessa Lachey,36,Asian,Female,Follower,"Actress, TV Host",Acting,Maksim Chmerkovskiy,Season 25,7,7.67857142857143
Terrell Owens,43,Black,Male,Leader,Professional Football Player,National Athlete,Cheryl Burke,Season 25,6,7.67647058823529
Victoria Arlen,23,White,Female,Follower,Sportscaster,Talk Show & News,Valentin Chmerkovskiy,Season 25,5,8.275
Drew Scott,39,White,Male,Leader,Property Brother,Other Shows,Emma Slater,Season 25,4,8.04166666666667
Frankie Muniz,31,White,Male,Leader,Actor,Acting,Witney Carson,Season 25,3,8.7037037037037
Lindsey Stirling,31,White,Female,Follower,Violinist,Music,Mark Ballas,Season 25,2,9.07407407407407
Jordan Fisher,23,Black,Male,Leader,"Singer, Actor","Music, Acting",Lindsay Arnold,Season 25,1,9.35185185185185
Jamie Anderson,27,White,Female,Follower,Olympic Snowboarder,Olympic Athlete,Artem Chigvintsev,Season 26,10,6
Johnny Damon,44,Asian,Male,Leader,Professional Baseball Player,National Athlete,Emma Slater,Season 26,9,6.33333333333333
Kareem Abdul-Jabbar,71,Black,Male,Leader,Professional Basketball Player,National Athlete,Lindsay Arnold,Season 26,8,8.18181818181818
Arike Ogunbowale,21,Black,Female,Follower,Professional Basketball Player,National Athlete,Gleb Savchenko,Season 26,7,6.90909090909091
Jennie Finch Daigle,37,White,Female,Follower,Olympic Softball Player,Olympic Athlete,Keo Motsepe,Season 26,6,8.8
Chris Mazdzer,29,White,Male,Leader,Olympic Luger,Olympic Athlete,Witney Carson,Season 26,5,8
Mirai Nagasu,25,Asian,Female,Follower,Olympic Figure Skater,Olympic Athlete,Alan Bersten,Season 26,4,7.53333333333333
Tonya Harding,47,White,Female,Follower,Olympic Figure Skater,Olympic Athlete,Sasha Farber,Season 26,3,8.57142857142857
Josh Norman,30,Black,Male,Leader,Professional Football Player,National Athlete,Sharna Burgess,Season 26,2,8.66666666666667
Adam Rippon,28,White,Male,Leader,Olympic Figure Skater,Olympic Athlete,Jenna Johnson,Season 26,1,9.38095238095238
Nikki Glaser,34,White,Female,Follower,Comedian,Other Shows,Gleb Savchenko,Season 27,13,5.83333333333333
Danelle Umstead,46,White,Female,Follower,Paralympic Skier,Olympic Athlete,Artem Chigvintsev,Season 27,12,6.08333333333333
Nancy McKeon,52,White,Female,Follower,Actress,Acting,Valentin Chmerkovskiy,Season 27,11,6.8
Tinashe,25,Black,Female,Follower,Singer-songwriter,Music,Brandon Armstrong,Season 27,10,8.53333333333333
Mary Lou Retton,50,White,Female,Follower,Olympic Gymnast,Olympic Athlete,Sasha Farber,Season 27,9,7.70833333333333
John Schneider,58,White,Male,Leader,"Actor, Singer","Acting, Music",Emma Slater,Season 27,8,8.25925925925926
DeMarcus Ware,36,Black,Male,Leader,Professional Football Player,National Athlete,Lindsay Arnold,Season 27,7,7.40740740740741
Joe Amabile,32,White,Male,Leader,Reality TV Personality,Influencer,Jenna Johnson,Season 27,6,9.18181818181818
Juan Pablo Di Pace,39,Hispanic/Latino,Male,Leader,Actor,Acting,Cheryl Burke,Season 27,5,6.45454545454545
Alexis Ren,21,White,Female,Follower,Internet Personality,Influencer,Alan Bersten,Season 27,4,8.80952380952381
Evanna Lynch,27,White,Female,Follower,Actress,Acting,Keo Motsepe,Season 27,3,8.8974358974359
